name,action,confidence_score,risk_score,impact_score,red_flags,name_confidence,phone_confidence,address_confidence,specialty_confidence,state_confidence,npi_confidence,license_confidence
Jamie Murphy,auto_resolve,85,35,100,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
Joseph Lang,manual_review,60,100,70,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Austin Berg,manual_review,75,100,80,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Thomas Horn,manual_review,60,100,90,INCONSISTENT_NAME: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Robert Jenkins,manual_review,100,60,100,INCONSISTENT_NAME: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
Paul Dixon,manual_review,75,100,70,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Crystal Bush,manual_review,50,100,70,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; MISSING_NPI: No NPI number found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,0,50
Eugene Mckinney,manual_review,75,100,70,INCONSISTENT_NAME: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Christopher Taylor,manual_review,35,100,80,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; MISSING_NPI: No NPI number found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,0,50
Scott Kelly,manual_review,60,100,70,INCONSISTENT_ADDRESS: Multiple conflicting values found; INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Justin Miller,auto_resolve,85,40,70,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
David Parks,manual_review,75,100,100,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; INACTIVE_LICENSE: Provider has inactive license; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,50
Margaret Valdez,manual_review,100,60,70,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
Julie Lewis,manual_review,100,60,90,INCONSISTENT_SPECIALTY: Multiple conflicting values found; INCONSISTENT_STATE: Multiple conflicting values found; STATE_MISMATCH: Practice state differs from license state,50,50,50,75,100,100,100
