provider_id,name,name_conf,name_tag,address,address_conf,address_tag,phone,phone_conf,phone_tag,specialty,specialty_conf,specialty_tag,npi,npi_conf,npi_tag,provider_confidence
PRV_001,Jamie Murphy,1.0,confirmed,"11017 SALAZAR MOTORWAY APT. 900 JENNIFERTON, MI 35873",0.85,updated,034-643-2329x259,0.7050000000000001,updated,pediatrics,1.0,confirmed,12558053266,0.95,confirmed,0.901
PRV_002,Joseph Lang,1.0,confirmed,"671 MARK COMMON KIMFORT, OK 66368",0.9,confirmed,(939)162-8128,0.605,suspect,dermatology,1.0,confirmed,16622968267,0.95,confirmed,0.891
PRV_003,Austin Berg,1.0,confirmed,"084 Rivera Roads East Brandyburgh, PA 02308",0.76,updated,219.435.4998,0.615,suspect,orthopedics,1.0,confirmed,14011476234,0.95,confirmed,0.865
PRV_004,Thomas Horn,1.0,confirmed,"824 BECKER CLUB SOUTH CHARLES, WA 84741",0.91,confirmed,845-696-4802x5949,0.655,suspect,pediatrics,1.0,confirmed,18767821330,0.95,confirmed,0.9029999999999999
PRV_005,Robert Jenkins,1.0,confirmed,"53753 ADAM RIDGES STEVENVIEW, WI 92052",0.95,confirmed,(712)719-5006,0.675,suspect,pediatrics,1.0,confirmed,14038976299,0.95,confirmed,0.915
PRV_006,Paul Dixon,1.0,confirmed,"610 BLAIR BRIDGE WEST ERIN, IA 47995",0.98,confirmed,001-049-085-5029,0.645,suspect,emergency,1.0,confirmed,11810981396,0.95,confirmed,0.915
PRV_007,Crystal Bush,1.0,confirmed,"711 WILLIAMS PARKWAYS APT. 448 BAUERBURY, KS 85431",0.84,updated,032.140.7584x4408,0.6699999999999999,suspect,oncology,1.0,confirmed,18564597698,0.95,confirmed,0.892
PRV_008,Eugene Mckinney,1.0,confirmed,"85038 PACHECO PORT SUITE 035 LAKE TAMMYLAND, NH 12478",0.9,confirmed,001-163-134-5376x6528,0.7050000000000001,updated,pediatrics,1.0,confirmed,18653735648,0.3,suspect,0.781
PRV_009,Christopher Taylor,1.0,confirmed,USNS WHITE FPO AP 52782,0.93,confirmed,+14144707412,0.86,updated,dermatology,1.0,confirmed,15898589114,0.95,confirmed,0.9480000000000001
PRV_010,Scott Kelly,1.0,confirmed,"25769 LAMB DIVIDE VICTORIAVILLE, VA 87545",0.99,confirmed,889.248.1011x3273,0.7050000000000001,updated,dermatology,1.0,confirmed,14454722343,0.95,confirmed,0.9289999999999999
PRV_011,Justin Miller,1.0,confirmed,"76320 FARMER PARKWAYS SUITE 456 REEDFORT, DE 38402",0.97,confirmed,(171)629-3039x20621,0.7150000000000001,updated,pediatrics,1.0,confirmed,18491894007,0.95,confirmed,0.9269999999999999
PRV_012,David Parks,1.0,confirmed,"748 CONRAD OVAL MCKENZIEFORT, AL 10974",0.97,confirmed,518-904-0099x215,0.675,suspect,neurology,1.0,confirmed,12105693135,0.95,confirmed,0.9189999999999999
PRV_013,Margaret Valdez,1.0,confirmed,"006 JORDAN CANYON GEORGEFURT, HI 93098",0.96,confirmed,+14435620376,0.885,updated,oncology,1.0,confirmed,14186475051,0.95,confirmed,0.959
PRV_014,Julie Lewis,1.0,confirmed,"12218 JULIA MILL SUITE 032 WEST ROBERTFORT, AK 81316",0.92,confirmed,(392)131-9312x85236,0.655,suspect,neurology,1.0,confirmed,13960370654,0.95,confirmed,0.905
PRV_015,Joseph Young,1.0,confirmed,"137 JAMIE LOCKS GONZALEZTOWN, AL 28562",0.86,updated,(046)212-3262x191,0.6799999999999999,suspect,orthopedics,1.0,confirmed,12902675926,0.95,confirmed,0.898
PRV_016,Dylan Baker,1.0,confirmed,"668 MURPHY TRAIL APT. 190 DONNABOROUGH, DC 91636",0.94,confirmed,2945565063,0.63,suspect,emergency,1.0,confirmed,16214979822,0.95,confirmed,0.9039999999999999
PRV_017,Jessica Moyer,1.0,confirmed,"738 Cardenas Valley Lake Julie, VA 13619",0.79,updated,+11554928139,0.8500000000000001,updated,dermatology,1.0,confirmed,18801505716,0.95,confirmed,0.9179999999999999
PRV_018,Emma Johns,1.0,confirmed,"82812 CANNON STREET NORTH CASSANDRA, PA 03048",0.91,confirmed,(807)853-8612x46964,0.685,suspect,oncology,1.0,confirmed,12062007827,0.95,confirmed,0.909
PRV_019,Haley Reyes,1.0,confirmed,USS DUNN FPO AE 28461,0.86,updated,736.974.5870x4536,0.72,updated,neurology,1.0,confirmed,11374843730,0.95,confirmed,0.906
PRV_020,Robert Thomas,1.0,confirmed,"761 JAMES FORKS NEW STEVEN, MO 64741",0.93,confirmed,001-593-047-8414x022,0.72,updated,pediatrics,1.0,confirmed,15821429778,0.95,confirmed,0.9199999999999999
PRV_021,Brian Campos,1.0,confirmed,"3125 Angel Summit Suite 021 South Annette, RI 11312",0.79,updated,+11850045196,0.87,updated,neurology,1.0,confirmed,14347595233,0.95,confirmed,0.922
PRV_022,Christian Smith,1.0,confirmed,"56767 HUTCHINSON PLAIN GARCIASIDE, MO 35516",0.9,confirmed,179.439.6939x558,0.685,suspect,neurology,1.0,confirmed,16323847932,0.95,confirmed,0.907
PRV_023,Sandra Brown,1.0,confirmed,"PSC 6274, BOX 7924 APO AP 99402",0.99,confirmed,981.339.1151x9553,0.6950000000000001,suspect,dermatology,1.0,confirmed,16011975664,0.95,confirmed,0.9269999999999999
PRV_024,Andrew Carter,1.0,confirmed,"7978 DANA RIDGES SUITE 781 NEW GREGORY, OR 85170",0.86,updated,+19543368046,0.915,confirmed,dermatology,1.0,confirmed,12195837140,0.95,confirmed,0.945
PRV_025,Jesse Torres,1.0,confirmed,"65213 SARAH COURTS APT. 743 JAMESTON, KY 72306",1.0,confirmed,+14699722214,0.9199999999999999,confirmed,pediatrics,1.0,confirmed,17648181261,0.95,confirmed,0.974
PRV_026,Joseph Weber MD,1.0,confirmed,"3438 Jason Branch Suite 466 Debrashire, CT 19732",0.77,updated,001-441-901-7303,0.72,updated,oncology,1.0,confirmed,19985738684,0.95,confirmed,0.8879999999999999
PRV_027,Brianna Watson,1.0,confirmed,"6210 RANDY PINE SUITE 954 BRIGGSTOWN, AK 20445",0.94,confirmed,209.599.0676x8802,0.64,suspect,orthopedics,1.0,confirmed,18888166857,0.95,confirmed,0.906
PRV_028,Michael Morgan,1.0,confirmed,"19057 Todd Falls Apt. 693 Ellenmouth, NJ 54427",0.79,updated,661.805.8877,0.7,updated,emergency,1.0,confirmed,16148542345,0.95,confirmed,0.8879999999999999
PRV_029,Michelle Smith,1.0,confirmed,USNS HERNANDEZ FPO AP 17755,0.89,updated,275-492-7630,0.6699999999999999,suspect,neurology,1.0,confirmed,18770946406,0.95,confirmed,0.9019999999999999
PRV_030,Rachel Long,1.0,confirmed,"8269 Rojas Inlet Apt. 339 New Jackborough, NV 97114",0.75,updated,829.509.2253x1859,0.655,suspect,dermatology,1.0,confirmed,15679138425,0.95,confirmed,0.8710000000000001
PRV_031,Michael Contreras,1.0,confirmed,"8837 JEFFERSON FORGE PORT KAITLYNTON, NV 45574",0.85,updated,(165)644-8123x93877,0.65,suspect,oncology,1.0,confirmed,16557495692,0.3,suspect,0.76
PRV_032,Tyrone Boyd,1.0,confirmed,Unit 7956 Box 7563 DPO AE 93164,0.79,updated,+10848253010,0.9199999999999999,confirmed,pediatrics,1.0,confirmed,14907082272,0.3,suspect,0.8019999999999999
PRV_033,Ashley Murphy,1.0,confirmed,"1891 Vincent Flats Lydialand, AR 94277",0.77,updated,040-359-0191x56049,0.72,updated,dermatology,1.0,confirmed,12379758771,0.95,confirmed,0.8879999999999999
PRV_034,Madison Duffy,1.0,confirmed,"3739 ELLIOTT VIADUCT APT. 334 SOUTH CASSANDRAPORT, ID 17529",0.83,updated,(105)603-4240x160,0.615,suspect,oncology,1.0,confirmed,16987655765,0.95,confirmed,0.8789999999999999
PRV_035,Diana Smith,1.0,confirmed,"5119 JOHN ISLE SUITE 136 RICHARDSONTON, AR 88109",0.9,confirmed,(237)100-5934x69366,0.69,suspect,pediatrics,1.0,confirmed,14359430144,0.95,confirmed,0.908
