provider_id,name,name_conf,name_tag,address,address_conf,address_tag,phone,phone_conf,phone_tag,specialty,specialty_conf,specialty_tag,npi,npi_conf,npi_tag,provider_confidence,address_state,address_zip,address_city,phone_formatted,npi_valid,npi_checksum_passed,specialty_group,years_experience,inferred_degree,mci_registration_number,state_council_registration,registration_year,license_status,renewal_due_date,last_verified_date,career_stage,geo_region,timezone,enrichment_score,primary_specialty,inferred_medical_school,graduation_year,expiration_date,state
PRV_001,Jamie Murphy,1.0,confirmed,"11017 SALAZAR MOTORWAY APT. 900 JENNIFERTON, MI 35873",0.85,updated,034-643-2329x259,0.7050000000000001,updated,pediatrics,1.0,confirmed,12558053266,0.95,confirmed,0.901,MI,11017,11017 SALAZAR MOTORWAY APT. 900 JENNIFERTON,,False,False,Primary Care,19,MBBS,MCI-72635,TNMC-61662,2003,Active,2028-12-31,2025-09-04,Senior,Midwest,Central,65,,Stanford University School of Medicine,2006,08-31-2025,MI
PRV_002,Joseph Lang,1.0,confirmed,"671 MARK COMMON KIMFORT, OK 66368",0.9,confirmed,(939)162-8128,0.605,suspect,dermatology,1.0,confirmed,16622968267,0.95,confirmed,0.891,OK,66368,671 MARK COMMON KIMFORT,+19391628128,False,False,Specialized,18,MBBS,MCI-20105,TNMC-53648,2007,Active,2027-12-31,2024-06-01,Senior,South,Central,75,,University of Washington School of Medicine,2007,03-13-2027,OK
PRV_003,Austin Berg,1.0,confirmed,"084 Rivera Roads East Brandyburgh, PA 02308",0.76,updated,219.435.4998,0.615,suspect,orthopedics,1.0,confirmed,14011476234,0.95,confirmed,0.865,PA,02308,084 Rivera Roads East Brandyburgh,+12194354998,False,False,Surgical,32,MBBS,MCI-79566,TNMC-11237,1991,Active,2026-12-31,2025-03-23,Senior,Northeast,Eastern,75,,Harvard Medical School,1993,05-02-2028,PA
PRV_004,Thomas Horn,1.0,confirmed,"824 BECKER CLUB SOUTH CHARLES, WA 84741",0.91,confirmed,845-696-4802x5949,0.655,suspect,pediatrics,1.0,confirmed,18767821330,0.95,confirmed,0.903,WA,84741,824 BECKER CLUB SOUTH CHARLES,,False,False,Primary Care,25,MBBS,MCI-68984,TNMC-55850,1999,Active,2029-12-31,2025-09-20,Senior,West,Pacific,65,,Stanford University School of Medicine,2000,09-03-2025,WA
PRV_005,Robert Jenkins,1.0,confirmed,"53753 ADAM RIDGES STEVENVIEW, WI 92052",0.95,confirmed,(712)719-5006,0.675,suspect,pediatrics,1.0,confirmed,14038976299,0.95,confirmed,0.915,WI,53753,53753 ADAM RIDGES STEVENVIEW,+17127195006,False,False,Primary Care,27,MBBS,MCI-44497,TNMC-54761,1996,Active,2026-12-31,2024-09-15,Senior,Midwest,Central,75,,Stanford University School of Medicine,1998,07-06-2027,WI
PRV_006,Paul Dixon,1.0,confirmed,"610 BLAIR BRIDGE WEST ERIN, IA 47995",0.98,confirmed,001-049-085-5029,0.645,suspect,emergency,1.0,confirmed,11810981396,0.95,confirmed,0.915,IA,47995,610 BLAIR BRIDGE WEST ERIN,,False,False,Specialized,25,MBBS,MCI-45377,TNMC-76952,1998,Active,2028-12-31,2024-01-18,Senior,Midwest,Central,65,,Harvard Medical School,2000,01-16-2028,IA
PRV_007,Crystal Bush,1.0,confirmed,"711 WILLIAMS PARKWAYS APT. 448 BAUERBURY, KS 85431",0.84,updated,032.140.7584x4408,0.6699999999999999,suspect,oncology,1.0,confirmed,18564597698,0.95,confirmed,0.892,KS,85431,711 WILLIAMS PARKWAYS APT. 448 BAUERBURY,,False,False,Specialized,26,MBBS,MCI-15390,TNMC-43186,1997,Inactive,2027-12-31,2024-06-14,Senior,Midwest,Central,65,,Stanford University School of Medicine,1999,02-05-2027,KS
PRV_008,Eugene Mckinney,1.0,confirmed,"85038 PACHECO PORT SUITE 035 LAKE TAMMYLAND, NH 12478",0.9,confirmed,001-163-134-5376x6528,0.7050000000000001,updated,pediatrics,1.0,confirmed,18653735648,0.3,suspect,0.781,NH,85038,85038 PACHECO PORT SUITE 035 LAKE TAMMYLAND,,False,False,Primary Care,13,MBBS,MCI-34920,TNMC-15193,2009,Active,2029-12-31,2025-08-21,Mid,Northeast,Eastern,65,,University of Washington School of Medicine,2012,02-02-2028,NH
PRV_009,Christopher Taylor,1.0,confirmed,USNS WHITE FPO AP 52782,0.93,confirmed,+14144707412,0.86,updated,dermatology,1.0,confirmed,15898589114,0.95,confirmed,0.948,,52782,,+14144707412,False,False,Specialized,35,MBBS,MCI-86797,TNMC-12345,1987,Active,2027-12-31,2025-04-25,Senior,Unknown,Unknown,52,,Unknown,1990,07-28-2028,Unknown
PRV_010,Scott Kelly,1.0,confirmed,"25769 LAMB DIVIDE VICTORIAVILLE, VA 87545",0.99,confirmed,889.248.1011x3273,0.7050000000000001,updated,dermatology,1.0,confirmed,14454722343,0.95,confirmed,0.929,VA,25769,25769 LAMB DIVIDE VICTORIAVILLE,,False,False,Specialized,17,MBBS,MCI-87468,TNMC-83587,2008,Active,2028-12-31,2025-04-27,Senior,South,Eastern,65,,Stanford University School of Medicine,2008,03-03-2026,VA
PRV_011,Justin Miller,1.0,confirmed,"76320 FARMER PARKWAYS SUITE 456 REEDFORT, DE 38402",0.97,confirmed,(171)629-3039x20621,0.7150000000000001,updated,pediatrics,1.0,confirmed,18491894007,0.95,confirmed,0.927,DE,76320,76320 FARMER PARKWAYS SUITE 456 REEDFORT,,False,False,Primary Care,10,MBBS,MCI-92956,TNMC-25610,2014,Suspended,2029-12-31,2024-11-01,Mid,South,Eastern,65,,Stanford University School of Medicine,2015,01-11-2028,DE
PRV_012,David Parks,1.0,confirmed,"748 CONRAD OVAL MCKENZIEFORT, AL 10974",0.97,confirmed,518-904-0099x215,0.675,suspect,neurology,1.0,confirmed,12105693135,0.95,confirmed,0.919,AL,10974,748 CONRAD OVAL MCKENZIEFORT,,False,False,Surgical,21,MBBS,MCI-37008,TNMC-42730,2001,Active,2026-12-31,2024-05-31,Senior,South,Eastern,65,,Stanford University School of Medicine,2004,01-17-2025,AL
PRV_013,Margaret Valdez,1.0,confirmed,"006 JORDAN CANYON GEORGEFURT, HI 93098",0.96,confirmed,+14435620376,0.885,updated,oncology,1.0,confirmed,14186475051,0.95,confirmed,0.959,HI,93098,006 JORDAN CANYON GEORGEFURT,+14435620376,False,False,Specialized,24,MBBS,MCI-47819,TNMC-66406,1998,Active,2028-12-31,2025-07-12,Senior,West,Pacific,75,,Stanford University School of Medicine,2001,07-14-2027,HI
PRV_014,Julie Lewis,1.0,confirmed,"12218 JULIA MILL SUITE 032 WEST ROBERTFORT, AK 81316",0.92,confirmed,(392)131-9312x85236,0.655,suspect,neurology,1.0,confirmed,13960370654,0.95,confirmed,0.905,AK,12218,12218 JULIA MILL SUITE 032 WEST ROBERTFORT,,False,False,Surgical,30,MBBS,MCI-29789,TNMC-31085,1993,Active,2028-12-31,2024-03-28,Senior,West,Pacific,65,,Stanford University School of Medicine,1995,03-05-2028,AK
PRV_015,Joseph Young,1.0,confirmed,"137 JAMIE LOCKS GONZALEZTOWN, AL 28562",0.86,updated,(046)212-3262x191,0.6799999999999999,suspect,orthopedics,1.0,confirmed,12902675926,0.95,confirmed,0.898,AL,28562,137 JAMIE LOCKS GONZALEZTOWN,,False,False,Surgical,23,MBBS,MCI-87543,TNMC-45463,1999,Active,2029-12-31,2025-06-27,Senior,South,Eastern,65,,Duke University School of Medicine,2002,11-17-2028,AL
PRV_016,Dylan Baker,1.0,confirmed,"668 MURPHY TRAIL APT. 190 DONNABOROUGH, DC 91636",0.94,confirmed,2945565063,0.63,suspect,emergency,1.0,confirmed,16214979822,0.95,confirmed,0.904,DC,91636,668 MURPHY TRAIL APT. 190 DONNABOROUGH,+12945565063,False,False,Specialized,33,MBBS,MCI-14735,TNMC-53532,1992,Active,2027-12-31,2024-09-05,Senior,Unknown,Unknown,65,,Stanford University School of Medicine,1992,02-12-2026,Unknown
